538,398
521,398
492,396
464,390
459,389
435,384
408,377
387,370
373,364
368,363
360,359
352,356
348,353
347,351
346,350
345,349
343,345
339,337
335,329
334,328
330,318
330,317
327,306
324,292
320,273
318,258
318,253
318,240
318,225
320,216
321,211
323,209
328,202
343,189
362,173
379,160
384,157
400,150
416,143
431,138
444,137
447,137
458,137
470,140
483,146
485,147
498,155
503,159
512,167
528,185
540,208
549,229
552,249
552,255
555,272
555,276
555,289
555,304
553,312
553,315
552,325
551,329
548,337
544,348
543,353
541,355
540,360
537,364
535,367
534,369
529,373
528,374
523,379
516,384
512,386
508,388
505,389
504,389
503,390
500,391
496,391
494,391
492,391
492,391
489,391
487,391
485,391
484,391
484,390
484,389
484,389
484,388
484,387
